impl,kernel,batch,seq,n_h,qk_head_dim,qk_pad,d_v,block_m,block_n,iter,gpu_ms,tflops
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,0,3.114400,110.325390
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,1,3.733440,92.032386
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,2,3.060128,112.282031
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,3,3.710944,92.590292
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,4,3.065504,112.085117
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,5,3.709824,92.618242
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,6,3.459584,99.317543
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,7,3.378688,101.695502
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,8,3.858944,89.039227
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,9,4.774400,71.966607
