impl,kernel,batch,seq,n_h,qk_head_dim,qk_pad,d_v,block_m,block_n,iter,gpu_ms,tflops
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,0,4.991872,68.831371
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,1,5.176832,66.372131
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,2,5.118464,67.129003
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,3,4.615680,74.441332
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,4,4.951552,69.391857
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,5,5.715456,60.117230
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,6,4.947456,69.449307
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,7,4.951552,69.391857
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,8,5.177856,66.359008
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,9,4.622848,74.325909
